S2#2 Bed#124623#612#5.0
S20#2 Bed#133462#579#5.0
S25#2 Bed#106842#490#5.0
S61#2 Bed#89332#429#5.0
S62#2 Bed#93803#436#5.0
S66#2 Bed#111469#508#5.0
S71#2 Bed#97546#411#5.0
S72#2 Bed#86430#427#5.0
S74#2 Bed#102500#431#5.0
S80#2 Bed#97585#475#5.0
SA10#2 Bed#109693#474#5.0
SA11#2 Bed#91875#441#5.0
SA13#2 Bed#96481#410#5.0
SA14#2 Bed#113080#525#5.0
SA15#2 Bed#94099#467#5.0
SA17#2 Bed#111923#524#5.0
SA31#2 Bed#119376#509#5.0
SA4#2 Bed#130051#549#5.0
SA61#2 Bed#131392#557#5.0
SA72#2 Bed#108905#470#5.0
SA73#2 Bed#95752#451#5.0
SA9#2 Bed#91080#443#5.0
SG10#2 Bed#266500#1148#5.0
SK10#2 Bed#188659#859#5.0
SK3#2 Bed#157198#657#5.0
SK5#2 Bed#140237#623#5.0
SL6#2 Bed#407418#1907#5.0
SN13#2 Bed#257751#1101#5.0
SO14#2 Bed#206250#894#5.0
SO31#2 Bed#191820#912#5.0
SP11#2 Bed#199967#956#5.0
SR3#2 Bed#114695#485#5.0
SR7#2 Bed#94618#417#5.0
SS13#2 Bed#224497#1051#5.0
ST14#2 Bed#117547#563#5.0
ST3#2 Bed#109818#491#5.0
ST4#2 Bed#103141#498#5.0
ST5#2 Bed#124039#550#5.0
ST6#2 Bed#88156#423#5.0
SY22#2 Bed#118414#503#5.0
TA20#2 Bed#141900#598#5.0
TA24#2 Bed#172343#793#5.0
TA5#2 Bed#222083#1092#5.0
TA6#2 Bed#154520#650#5.0
TD7#2 Bed#117498#576#5.0
TF1#2 Bed#133062#606#5.0
TF12#2 Bed#143579#635#5.0
TF2#2 Bed#128013#580#5.0
TF3#2 Bed#121862#600#5.0
TF4#2 Bed#122971#577#5.0
TN12#2 Bed#249468#1041#5.0
TN21#2 Bed#309167#1322#5.0
TN35#2 Bed#148420#737#5.0
TN38#2 Bed#230843#1001#5.0
TQ4#2 Bed#166849#724#5.0
TR15#2 Bed#148870#686#5.0
TR16#2 Bed#155357#724#5.0
TS10#2 Bed#104888#451#5.0
TS12#2 Bed#86127#421#5.0
TS16#2 Bed#146156#628#5.0
TS18#2 Bed#83169#410#5.0
TS20#2 Bed#92840#437#5.0
TS23#2 Bed#112834#500#5.0
TS5#2 Bed#112947#497#5.0
TS6#2 Bed#95722#443#5.0
TS7#2 Bed#128091#594#5.0
WA11#2 Bed#99162#495#5.0
WA5#2 Bed#120917#569#5.0
WF10#2 Bed#107413#504#5.0
WF11#2 Bed#125892#609#5.0
WF12#2 Bed#98037#443#5.0
WF13#2 Bed#103157#441#5.0
WF16#2 Bed#98999#494#5.0
WF17#2 Bed#94384#446#5.0
WF2#2 Bed#142964#650#5.0
WF3#2 Bed#134658#571#5.0
WF5#2 Bed#128043#631#5.0
WF7#2 Bed#108407#493#5.0
WF8#2 Bed#116780#499#5.0
WF9#2 Bed#105656#527#5.0
WN3#2 Bed#113620#479#5.0
WN5#2 Bed#111505#521#5.0
WN6#2 Bed#132525#557#5.0
WN8#2 Bed#133930#584#5.0
WR5#2 Bed#180227#754#5.0
WR9#2 Bed#169792#726#5.0
WS10#2 Bed#129773#541#5.0
WS2#2 Bed#116240#558#5.0
WS7#2 Bed#166662#698#5.0
WV1#2 Bed#112143#517#5.0
WV11#2 Bed#132727#615#5.0
WV12#2 Bed#147850#624#5.0
WV13#2 Bed#138125#584#5.0
WV14#2 Bed#124636#587#5.0
WV16#2 Bed#112034#526#5.0
YO11#2 Bed#140522#615#5.0
YO41#2 Bed#129923#641#5.0
YO42#2 Bed#177500#776#5.0
YO8#2 Bed#130144#549#5.0
AB10#2 Bed#218333#750#4.0
AB15#2 Bed#208332#767#4.0
AB21#2 Bed#176798#691#4.0
AB39#2 Bed#193500#724#4.0
AL10#2 Bed#303330#1235#4.0
AL4#2 Bed#389184#1374#4.0
AL5#2 Bed#489993#1797#4.0
B14#2 Bed#201432#792#4.0
B17#2 Bed#236775#952#4.0
B30#2 Bed#220100#776#4.0
B46#2 Bed#207000#706#4.0
B6#2 Bed#147390#598#4.0
B60#2 Bed#218320#748#4.0
B61#2 Bed#201364#700#4.0
B63#2 Bed#149489#586#4.0
B64#2 Bed#164743#611#4.0
B67#2 Bed#162647#644#4.0
B77#2 Bed#180857#634#4.0
B78#2 Bed#163586#680#4.0
B8#2 Bed#165770#637#4.0
B90#2 Bed#287297#959#4.0
B92#2 Bed#218071#875#4.0
B97#2 Bed#195987#678#4.0
BA1#2 Bed#315091#1143#4.0
BA10#2 Bed#190990#687#4.0
BA14#2 Bed#206059#718#4.0
BA16#2 Bed#144248#576#4.0
BA2#2 Bed#301561#1125#4.0
BA20#2 Bed#170416#657#4.0
BA21#2 Bed#161691#660#4.0
BA4#2 Bed#184817#744#4.0
